No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
648,Induction Sealer Machine F-200 #1 - 9CPF,300442,9CPF,1,48,4,7-Jun-21,2021," 1,800,000 ",Equipment
649,Induction Sealer Machine F-200 #2 - 9CPF,300443,9CPF,1,48,4,7-Jun-21,2021," 1,800,000 ",Equipment
650,GEA - Paste Filler Type GCG-MIX - 9CPF,300447,9CPF,1,48,4,23-Jul-21,2021," 27,000,000 ",Equipment
651,KIMO Pt100 Portable Thermometer TR61 - 9OPS,300432,9CPF,1,48,4,9-Jul-21,2021," 4,140,000 ",Equipment
652,DeltaTrak Temperature Thermometer 12217 - 9CPF,300433,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
653,DeltaTrak Temperature Thermometer 12217 - 9CPF,300434,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
654,DeltaTrak Temperature Thermometer 12217 - 9CPF,300435,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
655,DeltaTrak Temperature Thermometer 12217 - 9CPF,300436,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
656,DeltaTrak Temperature Thermometer 12217 - 9CPF,300437,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
657,DeltaTrak Temperature Thermometer 12217 - 9CPF,300438,9CPF,1,48,4,9-Jul-21,2021," 765,000 ",Equipment
658,Robot Coupe - Vertical Cutter Mixer R30 - 9CPF,300439,9CPF,,48,4,1-Aug-21,2021," 180,300,000 ",Equipment
659,Robot Coupe - Vertical Cutter Mixer R30 - 9CPF,300448,9CPF,1,48,4,21-Sep-21,2021," 180,300,000 ",Equipment
660,NB HP 240 G8 [365K7PA]/i3-1005G1/4+4gb/256gb SSD/no odd/Win10 Prof/3-3-3 - 9QAC,300449,9CPF,1,48,4,10-Sep-21,2021," 9,750,000 ",Equipment
661,"COLD DRINK DISPENSER SINGLE BOWL 19L, CRATHCO D155-4 - 9CPF",300450,9CPF,1,48,4,13-Sep-21,2021," 10,100,000 ",Equipment
662,GETRA - Filler Machine for Liquid/Paste Type A03 - 9CPF,300451,9CPF,1,48,4,6-Sep-21,2021," 3,000,000 ",Equipment
663,GETRA - Filler Machine for Liquid/Paste Type A03 - 9CPF,300452,9CPF,1,48,4,27-Sep-21,2021," 3,000,000 ",Equipment
664,"COLD DRINK DISPENSER SINGLE BOWL 19L, CRATHCO D155-4 - 9CPF",300453,9CPF,1,48,4,30-Sep-21,2021," 10,100,000 ",Equipment
665,"COLD DRINK DISPENSER SINGLE BOWL 19L, CRATHCO D155-4 - 9CPF",300454,9CPF,1,48,4,30-Sep-21,2021," 10,100,000 ",Equipment
666,"1 Set Belt Conveyor 3mm, Size 600X1500mm (warna Hijau) - 9CPF",300455,9CPF,1,48,4,1-Sep-21,2021," 11,000,000 ",Equipment
667,"1 Set Belt Conveyor 3mm, Size 600X1500mm (warna Hijau) - 9CPF",300456,9CPF,1,48,4,1-Sep-21,2021," 11,000,000 ",Equipment
668,Epson LQ-590II - 9CPF,300457,9CPF,1,48,4,4-Nov-21,2021," 6,586,500 ",Equipment
669,GARBIN Convention Oven Bravo Digital - 9PRD,300458,9PRD,1,48,4,27-Dec-21,2021," 19,545,454 ",Equipment
670,SAMSUNG Galaxy A03S - 9QAC,300462,9QAC,1,48,4,20-Dec-21,2021," 1,614,000 ",Equipment
671,Robot Coupe - Vegetable Preparation Machine CL 50 Ultra - 9CPF,300461,9CPF,1,48,4,31-Jan-22,2022," 35,363,636 ",Equipment
672,POLYTRON PAS PRO12F2 Professional Active Speaker - 9CPF,300463,9CPF,1,48,4,14-Jan-22,2022," 2,274,300 ",Equipment
673,PHILIPS SBM200 SPEAKER PINGGANG WAISTBAND #1 - 9CPF,300464,9CPF,1,48,4,14-Jan-22,2022," 583,000 ",Equipment
674,PHILIPS SBM200 SPEAKER PINGGANG WAISTBAND #2 - 9CPF,300465,9CPF,1,48,4,14-Jan-22,2022," 583,000 ",Equipment
675,Ashley Better-4 & Mic Ashley Voice -1000- 9CPF,300466,9CPF,1,48,4,14-Jan-22,2022," 2,265,000 ",Equipment
676,Xiaomi Home Theater Mi TV Speaker Soundbar Subwoofer Theatre 2.1- 9CPF,300467,9CPF,1,48,4,14-Jan-22,2022," 2,205,000 ",Equipment
677,Moveable Trolley for Water Container Stainless Steel 120L #1 - 9CPF,300482,9CPF,1,48,4,17-Feb-22,2022," 3,700,000 ",Equipment
678,Moveable Trolley for Water Container Stainless Steel 120L #2 - 9CPF,300483,9CPF,1,48,4,17-Feb-22,2022," 3,700,000 ",Equipment
679,Moveable Trolley for Water Container Stainless Steel 120L #3 - 9CPF,300484,9CPF,1,48,4,17-Feb-22,2022," 3,700,000 ",Equipment
